서울시 기준일,서울시 확진자,서울시 추가 확진,서울시 사망,전국 기준일,전국 확진,전국 추가 확진,전국 당일 사망자
2021.10.12.00,108617,482,694,2021.10.12.00,334163,1347,
2021.10.11.00,108135,511,688,2021.10.11.00,332816,1297,
2021.10.10.00,107624,583,683,2021.10.10.00,331519,1594,
2021.10.09.00,107041,712,678,2021.10.09.00,329925,1953,
2021.10.08.00,106332,776,674,2021.10.08.00,327976,2176,
2021.10.07.00,105558,837,669,2021.10.07.00,325804,2427,
2021.10.06.00,104723,690,666,2021.10.06.00,323379,2028,
2021.10.05.00,104033,521,662,2021.10.05.00,321352,1575,
2021.10.04.00,103512,574,656,2021.10.04.00,319777,1673,
2021.10.03.00,102939,736,655,2021.10.03.00,318104,2085,
2021.10.02.00,102204,793,653,2021.10.02.00,316020,2248,
2021.10.01.00,101411,916,649,2021.10.01.00,313773,2486,
2021.09.30.00,100495,945,643,2021.09.30.00,311289,2564,
2021.09.29.00,99550,1054,639,2021.09.29.00,308725,2885,
2021.09.28.00,98497,842,635,2021.09.28.00,305842,2289,
2021.09.27.00,97655,778,633,2021.09.27.00,303553,2383,
2021.09.26.00,96877,928,632,2021.09.26.00,301172,2771,
2021.09.25.00,95949,1222,630,2021.09.25.00,298402,3273,
2021.09.24.00,94728,907,627,2021.09.24.00,295132,2434,
2021.09.23.00,93821,645,625,2021.09.23.00,292699,1716,
2021.09.22.00,93176,644,621,2021.09.22.00,290983,1720,
2021.09.21.00,92532,676,620,2021.09.21.00,289263,1729,
2021.09.20.00,91856,583,618,2021.09.20.00,287536,1605,
2021.09.19.00,91273,742,617,2021.09.19.00,285931,1910,
2021.09.18.00,90532,703,616,2021.09.18.00,284022,2087,
2021.09.17.00,89829,746,614,2021.09.17.00,281938,2008,
2021.09.16.00,89083,719,614,2021.09.16.00,279930,1943,
2021.09.15.00,88364,808,612,2021.09.15.00,277989,2080,
2021.09.14.00,87556,539,608,2021.09.14.00,275910,1497,
2021.09.13.00,87018,556,607,2021.09.13.00,274415,1433,
